CATEGORIA,SUBCATEGORIA,Ano,Comercio
VINHO DE MESA,VINHO DE MESA,2009,234525979
VINHO DE MESA,Tinto,2009,193004182
VINHO DE MESA,Rosado,2009,2307580
VINHO DE MESA,Branco,2009,39214217
VINHO  FINO DE MESA,VINHO  FINO DE MESA,2009,33080270
VINHO  FINO DE MESA,Tinto,2009,19576295
VINHO  FINO DE MESA,Rosado,2009,213835
VINHO  FINO DE MESA,Branco,2009,13290140
VINHO FRIZANTE,VINHO FRIZANTE,2009,1003596
VINHO ORGÂNICO,VINHO ORGÂNICO,2009,0
VINHO ESPECIAL,VINHO ESPECIAL,2009,113
VINHO ESPECIAL,Tinto,2009,113
VINHO ESPECIAL,Rosado,2009,0
VINHO ESPECIAL,Branco,2009,0
ESPUMANTES,ESPUMANTES,2009,11242890
ESPUMANTES,Espumante  Moscatel,2009,2500230
ESPUMANTES,Espumante,2009,8742660
ESPUMANTES,Espumante Orgânico,2009,0
SUCO DE UVAS,SUCO DE UVAS,2009,29131455
SUCO DE UVAS,Suco Natural Integral,2009,0
SUCO DE UVAS,Suco Adoçado,2009,0
SUCO DE UVAS,Suco Reprocessado/reconstituido,2009,0
SUCO DE UVAS,Suco Orgânico,2009,0
SUCO DE UVAS,Outros sucos de uvas,2009,0
SUCO DE UVAS CONCENTRADO,SUCO DE UVAS CONCENTRADO,2009,31861857
OUTROS PRODUTOS COMERCIALIZADOS,OUTROS PRODUTOS COMERCIALIZADOS,2009,26554757
OUTROS PRODUTOS COMERCIALIZADOS,Outros vinhos (sem informação detalhada),2009,0
OUTROS PRODUTOS COMERCIALIZADOS,"Agrin (fermentado, acetico misto)",2009,6745427
OUTROS PRODUTOS COMERCIALIZADOS,Aguardente de vinho 50°gl,2009,0
OUTROS PRODUTOS COMERCIALIZADOS,Alcool vinico,2009,0
OUTROS PRODUTOS COMERCIALIZADOS,Bagaceira (graspa),2009,21133
OUTROS PRODUTOS COMERCIALIZADOS,Base champenoise champanha,2009,0
OUTROS PRODUTOS COMERCIALIZADOS,Base charmat champanha,2009,0
OUTROS PRODUTOS COMERCIALIZADOS,Base espumante moscatel,2009,0
OUTROS PRODUTOS COMERCIALIZADOS,Bebida de uva,2009,1279586
OUTROS PRODUTOS COMERCIALIZADOS,Borra líquida,2009,12000
OUTROS PRODUTOS COMERCIALIZADOS,Borra seca,2009,0
OUTROS PRODUTOS COMERCIALIZADOS,Brandy (conhaque),2009,7151
OUTROS PRODUTOS COMERCIALIZADOS,Cooler,2009,4561959
OUTROS PRODUTOS COMERCIALIZADOS,Coquetel com vinho,2009,1354734
OUTROS PRODUTOS COMERCIALIZADOS,Destilado de vinho,2009,100
OUTROS PRODUTOS COMERCIALIZADOS,Filtrado doce,2009,6533888
OUTROS PRODUTOS COMERCIALIZADOS,Jeropiga,2009,14443
OUTROS PRODUTOS COMERCIALIZADOS,Mistelas,2009,7034
OUTROS PRODUTOS COMERCIALIZADOS,Mosto concentrado,2009,0
OUTROS PRODUTOS COMERCIALIZADOS,Mosto de uva,2009,0
OUTROS PRODUTOS COMERCIALIZADOS,Mosto sulfitado,2009,0
OUTROS PRODUTOS COMERCIALIZADOS,Nectar de uva,2009,4933019
OUTROS PRODUTOS COMERCIALIZADOS,Outros produtos,2009,418132
OUTROS PRODUTOS COMERCIALIZADOS,Polpa de uva,2009,1339958
OUTROS PRODUTOS COMERCIALIZADOS,Preparado líquido para refresco,2009,467005
OUTROS PRODUTOS COMERCIALIZADOS,Refrigerante +50% suco,2009,0
OUTROS PRODUTOS COMERCIALIZADOS,Sangria,2009,192082
OUTROS PRODUTOS COMERCIALIZADOS,Vinagre balsamico,2009,36937
OUTROS PRODUTOS COMERCIALIZADOS,Vinagre duplo,2009,426804
OUTROS PRODUTOS COMERCIALIZADOS,Vinagre simples,2009,2996318
OUTROS PRODUTOS COMERCIALIZADOS,Vinho acetificado,2009,808389
OUTROS PRODUTOS COMERCIALIZADOS,Vinho base para espumantes,2009,10649
OUTROS PRODUTOS COMERCIALIZADOS,Vinho composto,2009,542123
OUTROS PRODUTOS COMERCIALIZADOS,Vinho licoroso,2009,591313
OUTROS PRODUTOS COMERCIALIZADOS,Vinho leve,2009,0
OUTROS PRODUTOS COMERCIALIZADOS,Vinho gaseificado,2009,0
VINHO DE MESA,VINHO DE MESA,2010,221242945
VINHO DE MESA,Tinto,2010,188649074
VINHO DE MESA,Rosado,2010,2036928
VINHO DE MESA,Branco,2010,30556943
VINHO  FINO DE MESA,VINHO  FINO DE MESA,2010,21390159
VINHO  FINO DE MESA,Tinto,2010,15184398
VINHO  FINO DE MESA,Rosado,2010,236802
VINHO  FINO DE MESA,Branco,2010,5968959
VINHO FRIZANTE,VINHO FRIZANTE,2010,1851136
VINHO ORGÂNICO,VINHO ORGÂNICO,2010,0
VINHO ESPECIAL,VINHO ESPECIAL,2010,293
VINHO ESPECIAL,Tinto,2010,293
VINHO ESPECIAL,Rosado,2010,0
VINHO ESPECIAL,Branco,2010,0
ESPUMANTES,ESPUMANTES,2010,12647906
ESPUMANTES,Espumante  Moscatel,2010,2946179
ESPUMANTES,Espumante,2010,9701727
ESPUMANTES,Espumante Orgânico,2010,0
SUCO DE UVAS,SUCO DE UVAS,2010,35164681
SUCO DE UVAS,Suco Natural Integral,2010,0
SUCO DE UVAS,Suco Adoçado,2010,0
SUCO DE UVAS,Suco Reprocessado/reconstituido,2010,0
SUCO DE UVAS,Suco Orgânico,2010,0
SUCO DE UVAS,Outros sucos de uvas,2010,0
SUCO DE UVAS CONCENTRADO,SUCO DE UVAS CONCENTRADO,2010,30827991
OUTROS PRODUTOS COMERCIALIZADOS,OUTROS PRODUTOS COMERCIALIZADOS,2010,29023870
OUTROS PRODUTOS COMERCIALIZADOS,Outros vinhos (sem informação detalhada),2010,0
OUTROS PRODUTOS COMERCIALIZADOS,"Agrin (fermentado, acetico misto)",2010,6852708
OUTROS PRODUTOS COMERCIALIZADOS,Aguardente de vinho 50°gl,2010,0
OUTROS PRODUTOS COMERCIALIZADOS,Alcool vinico,2010,0
OUTROS PRODUTOS COMERCIALIZADOS,Bagaceira (graspa),2010,16413
OUTROS PRODUTOS COMERCIALIZADOS,Base champenoise champanha,2010,11
OUTROS PRODUTOS COMERCIALIZADOS,Base charmat champanha,2010,42847
OUTROS PRODUTOS COMERCIALIZADOS,Base espumante moscatel,2010,18418
OUTROS PRODUTOS COMERCIALIZADOS,Bebida de uva,2010,763368
OUTROS PRODUTOS COMERCIALIZADOS,Borra líquida,2010,13000
OUTROS PRODUTOS COMERCIALIZADOS,Borra seca,2010,46000
OUTROS PRODUTOS COMERCIALIZADOS,Brandy (conhaque),2010,6448
OUTROS PRODUTOS COMERCIALIZADOS,Cooler,2010,4674272
OUTROS PRODUTOS COMERCIALIZADOS,Coquetel com vinho,2010,977962
OUTROS PRODUTOS COMERCIALIZADOS,Destilado de vinho,2010,31814
OUTROS PRODUTOS COMERCIALIZADOS,Filtrado doce,2010,6611313
OUTROS PRODUTOS COMERCIALIZADOS,Jeropiga,2010,37310
OUTROS PRODUTOS COMERCIALIZADOS,Mistelas,2010,26577
OUTROS PRODUTOS COMERCIALIZADOS,Mosto concentrado,2010,0
OUTROS PRODUTOS COMERCIALIZADOS,Mosto de uva,2010,12438
OUTROS PRODUTOS COMERCIALIZADOS,Mosto sulfitado,2010,0
OUTROS PRODUTOS COMERCIALIZADOS,Nectar de uva,2010,5397459
OUTROS PRODUTOS COMERCIALIZADOS,Outros produtos,2010,284824
OUTROS PRODUTOS COMERCIALIZADOS,Polpa de uva,2010,2774322
OUTROS PRODUTOS COMERCIALIZADOS,Preparado líquido para refresco,2010,377010
OUTROS PRODUTOS COMERCIALIZADOS,Refrigerante +50% suco,2010,0
OUTROS PRODUTOS COMERCIALIZADOS,Sangria,2010,172214
OUTROS PRODUTOS COMERCIALIZADOS,Vinagre balsamico,2010,67502
OUTROS PRODUTOS COMERCIALIZADOS,Vinagre duplo,2010,912242
OUTROS PRODUTOS COMERCIALIZADOS,Vinagre simples,2010,3336175
OUTROS PRODUTOS COMERCIALIZADOS,Vinho acetificado,2010,1123858
OUTROS PRODUTOS COMERCIALIZADOS,Vinho base para espumantes,2010,0
OUTROS PRODUTOS COMERCIALIZADOS,Vinho composto,2010,661586
OUTROS PRODUTOS COMERCIALIZADOS,Vinho licoroso,2010,638487
OUTROS PRODUTOS COMERCIALIZADOS,Vinho leve,2010,0
OUTROS PRODUTOS COMERCIALIZADOS,Vinho gaseificado,2010,0
VINHO DE MESA,VINHO DE MESA,2011,230310468
VINHO DE MESA,Tinto,2011,196562722
VINHO DE MESA,Rosado,2011,1668823
VINHO DE MESA,Branco,2011,32078923
VINHO  FINO DE MESA,VINHO  FINO DE MESA,2011,19967310
VINHO  FINO DE MESA,Tinto,2011,14876896
VINHO  FINO DE MESA,Rosado,2011,211484
VINHO  FINO DE MESA,Branco,2011,4878930
VINHO FRIZANTE,VINHO FRIZANTE,2011,1706679
VINHO ORGÂNICO,VINHO ORGÂNICO,2011,0
VINHO ESPECIAL,VINHO ESPECIAL,2011,699
VINHO ESPECIAL,Tinto,2011,699
VINHO ESPECIAL,Rosado,2011,0
VINHO ESPECIAL,Branco,2011,0
ESPUMANTES,ESPUMANTES,2011,13305275
ESPUMANTES,Espumante  Moscatel,2011,2996441
ESPUMANTES,Espumante,2011,10308834
ESPUMANTES,Espumante Orgânico,2011,0
SUCO DE UVAS,SUCO DE UVAS,2011,45222136
SUCO DE UVAS,Suco Natural Integral,2011,0
SUCO DE UVAS,Suco Adoçado,2011,0
SUCO DE UVAS,Suco Reprocessado/reconstituido,2011,0
SUCO DE UVAS,Suco Orgânico,2011,0
SUCO DE UVAS,Outros sucos de uvas,2011,0
SUCO DE UVAS CONCENTRADO,SUCO DE UVAS CONCENTRADO,2011,34892316
OUTROS PRODUTOS COMERCIALIZADOS,OUTROS PRODUTOS COMERCIALIZADOS,2011,28783827
OUTROS PRODUTOS COMERCIALIZADOS,Outros vinhos (sem informação detalhada),2011,0
OUTROS PRODUTOS COMERCIALIZADOS,"Agrin (fermentado, acetico misto)",2011,5997697
OUTROS PRODUTOS COMERCIALIZADOS,Aguardente de vinho 50°gl,2011,0
OUTROS PRODUTOS COMERCIALIZADOS,Alcool vinico,2011,0
OUTROS PRODUTOS COMERCIALIZADOS,Bagaceira (graspa),2011,18111
OUTROS PRODUTOS COMERCIALIZADOS,Base champenoise champanha,2011,41134
OUTROS PRODUTOS COMERCIALIZADOS,Base charmat champanha,2011,66220
OUTROS PRODUTOS COMERCIALIZADOS,Base espumante moscatel,2011,22162
OUTROS PRODUTOS COMERCIALIZADOS,Bebida de uva,2011,532821
OUTROS PRODUTOS COMERCIALIZADOS,Borra líquida,2011,22016
OUTROS PRODUTOS COMERCIALIZADOS,Borra seca,2011,73006
OUTROS PRODUTOS COMERCIALIZADOS,Brandy (conhaque),2011,5640
OUTROS PRODUTOS COMERCIALIZADOS,Cooler,2011,4684087
OUTROS PRODUTOS COMERCIALIZADOS,Coquetel com vinho,2011,805235
OUTROS PRODUTOS COMERCIALIZADOS,Destilado de vinho,2011,90364
OUTROS PRODUTOS COMERCIALIZADOS,Filtrado doce,2011,7001836
OUTROS PRODUTOS COMERCIALIZADOS,Jeropiga,2011,57887
OUTROS PRODUTOS COMERCIALIZADOS,Mistelas,2011,983
OUTROS PRODUTOS COMERCIALIZADOS,Mosto concentrado,2011,0
OUTROS PRODUTOS COMERCIALIZADOS,Mosto de uva,2011,291399
OUTROS PRODUTOS COMERCIALIZADOS,Mosto sulfitado,2011,0
OUTROS PRODUTOS COMERCIALIZADOS,Nectar de uva,2011,5703340
OUTROS PRODUTOS COMERCIALIZADOS,Outros produtos,2011,385029
OUTROS PRODUTOS COMERCIALIZADOS,Polpa de uva,2011,1875782
OUTROS PRODUTOS COMERCIALIZADOS,Preparado líquido para refresco,2011,367193
OUTROS PRODUTOS COMERCIALIZADOS,Refrigerante +50% suco,2011,0
OUTROS PRODUTOS COMERCIALIZADOS,Sangria,2011,158868
OUTROS PRODUTOS COMERCIALIZADOS,Vinagre balsamico,2011,78540
OUTROS PRODUTOS COMERCIALIZADOS,Vinagre duplo,2011,875720
OUTROS PRODUTOS COMERCIALIZADOS,Vinagre simples,2011,3386303
OUTROS PRODUTOS COMERCIALIZADOS,Vinho acetificado,2011,983700
OUTROS PRODUTOS COMERCIALIZADOS,Vinho base para espumantes,2011,0
OUTROS PRODUTOS COMERCIALIZADOS,Vinho composto,2011,662965
OUTROS PRODUTOS COMERCIALIZADOS,Vinho licoroso,2011,593486
OUTROS PRODUTOS COMERCIALIZADOS,Vinho leve,2011,0
OUTROS PRODUTOS COMERCIALIZADOS,Vinho gaseificado,2011,0
VINHO DE MESA,VINHO DE MESA,2012,206969571
VINHO DE MESA,Tinto,2012,173964776
VINHO DE MESA,Rosado,2012,1738134
VINHO DE MESA,Branco,2012,31266661
VINHO  FINO DE MESA,VINHO  FINO DE MESA,2012,22469950
VINHO  FINO DE MESA,Tinto,2012,15443016
VINHO  FINO DE MESA,Rosado,2012,150806
VINHO  FINO DE MESA,Branco,2012,6876128
VINHO FRIZANTE,VINHO FRIZANTE,2012,1605767
VINHO ORGÂNICO,VINHO ORGÂNICO,2012,0
VINHO ESPECIAL,VINHO ESPECIAL,2012,239
VINHO ESPECIAL,Tinto,2012,239
VINHO ESPECIAL,Rosado,2012,0
VINHO ESPECIAL,Branco,2012,0
ESPUMANTES,ESPUMANTES,2012,14889147
ESPUMANTES,Espumante  Moscatel,2012,3610289
ESPUMANTES,Espumante,2012,11278858
ESPUMANTES,Espumante Orgânico,2012,0
SUCO DE UVAS,SUCO DE UVAS,2012,53832204
SUCO DE UVAS,Suco Natural Integral,2012,0
SUCO DE UVAS,Suco Adoçado,2012,0
SUCO DE UVAS,Suco Reprocessado/reconstituido,2012,0
SUCO DE UVAS,Suco Orgânico,2012,0
SUCO DE UVAS,Outros sucos de uvas,2012,0
SUCO DE UVAS CONCENTRADO,SUCO DE UVAS CONCENTRADO,2012,33529324
OUTROS PRODUTOS COMERCIALIZADOS,OUTROS PRODUTOS COMERCIALIZADOS,2012,30316511
OUTROS PRODUTOS COMERCIALIZADOS,Outros vinhos (sem informação detalhada),2012,0
OUTROS PRODUTOS COMERCIALIZADOS,"Agrin (fermentado, acetico misto)",2012,5311258
OUTROS PRODUTOS COMERCIALIZADOS,Aguardente de vinho 50°gl,2012,0
OUTROS PRODUTOS COMERCIALIZADOS,Alcool vinico,2012,0
OUTROS PRODUTOS COMERCIALIZADOS,Bagaceira (graspa),2012,14710
OUTROS PRODUTOS COMERCIALIZADOS,Base champenoise champanha,2012,42671
OUTROS PRODUTOS COMERCIALIZADOS,Base charmat champanha,2012,46518
OUTROS PRODUTOS COMERCIALIZADOS,Base espumante moscatel,2012,25921
OUTROS PRODUTOS COMERCIALIZADOS,Bebida de uva,2012,261223
OUTROS PRODUTOS COMERCIALIZADOS,Borra líquida,2012,21980
OUTROS PRODUTOS COMERCIALIZADOS,Borra seca,2012,89000
OUTROS PRODUTOS COMERCIALIZADOS,Brandy (conhaque),2012,5495
OUTROS PRODUTOS COMERCIALIZADOS,Cooler,2012,4258333
OUTROS PRODUTOS COMERCIALIZADOS,Coquetel com vinho,2012,907199
OUTROS PRODUTOS COMERCIALIZADOS,Destilado de vinho,2012,30000
OUTROS PRODUTOS COMERCIALIZADOS,Filtrado doce,2012,7108554
OUTROS PRODUTOS COMERCIALIZADOS,Jeropiga,2012,55050
OUTROS PRODUTOS COMERCIALIZADOS,Mistelas,2012,5097
OUTROS PRODUTOS COMERCIALIZADOS,Mosto concentrado,2012,0
OUTROS PRODUTOS COMERCIALIZADOS,Mosto de uva,2012,29304
OUTROS PRODUTOS COMERCIALIZADOS,Mosto sulfitado,2012,0
OUTROS PRODUTOS COMERCIALIZADOS,Nectar de uva,2012,5644055
OUTROS PRODUTOS COMERCIALIZADOS,Outros produtos,2012,484205
OUTROS PRODUTOS COMERCIALIZADOS,Polpa de uva,2012,1995839
OUTROS PRODUTOS COMERCIALIZADOS,Preparado líquido para refresco,2012,613313
OUTROS PRODUTOS COMERCIALIZADOS,Refrigerante +50% suco,2012,0
OUTROS PRODUTOS COMERCIALIZADOS,Sangria,2012,73590
OUTROS PRODUTOS COMERCIALIZADOS,Vinagre balsamico,2012,102259
OUTROS PRODUTOS COMERCIALIZADOS,Vinagre duplo,2012,1208132
OUTROS PRODUTOS COMERCIALIZADOS,Vinagre simples,2012,4027358
OUTROS PRODUTOS COMERCIALIZADOS,Vinho acetificado,2012,2110450
OUTROS PRODUTOS COMERCIALIZADOS,Vinho base para espumantes,2012,0
OUTROS PRODUTOS COMERCIALIZADOS,Vinho composto,2012,510914
OUTROS PRODUTOS COMERCIALIZADOS,Vinho licoroso,2012,645341
OUTROS PRODUTOS COMERCIALIZADOS,Vinho leve,2012,0
OUTROS PRODUTOS COMERCIALIZADOS,Vinho gaseificado,2012,0
VINHO DE MESA,VINHO DE MESA,2013,221590810
VINHO DE MESA,Tinto,2013,188033494
VINHO DE MESA,Rosado,2013,1777648
VINHO DE MESA,Branco,2013,31779668
VINHO  FINO DE MESA,VINHO  FINO DE MESA,2013,27912934
VINHO  FINO DE MESA,Tinto,2013,19121750
VINHO  FINO DE MESA,Rosado,2013,214269
VINHO  FINO DE MESA,Branco,2013,8576915
VINHO FRIZANTE,VINHO FRIZANTE,2013,1764851
VINHO ORGÂNICO,VINHO ORGÂNICO,2013,0
VINHO ESPECIAL,VINHO ESPECIAL,2013,2257
VINHO ESPECIAL,Tinto,2013,2257
VINHO ESPECIAL,Rosado,2013,0
VINHO ESPECIAL,Branco,2013,0
ESPUMANTES,ESPUMANTES,2013,15978504
ESPUMANTES,Espumante  Moscatel,2013,3783531
ESPUMANTES,Espumante,2013,12194973
ESPUMANTES,Espumante Orgânico,2013,0
SUCO DE UVAS,SUCO DE UVAS,2013,75973297
SUCO DE UVAS,Suco Natural Integral,2013,0
SUCO DE UVAS,Suco Adoçado,2013,0
SUCO DE UVAS,Suco Reprocessado/reconstituido,2013,0
SUCO DE UVAS,Suco Orgânico,2013,0
SUCO DE UVAS,Outros sucos de uvas,2013,0
SUCO DE UVAS CONCENTRADO,SUCO DE UVAS CONCENTRADO,2013,38369914
OUTROS PRODUTOS COMERCIALIZADOS,OUTROS PRODUTOS COMERCIALIZADOS,2013,36841561
OUTROS PRODUTOS COMERCIALIZADOS,Outros vinhos (sem informação detalhada),2013,0
OUTROS PRODUTOS COMERCIALIZADOS,"Agrin (fermentado, acetico misto)",2013,56936
OUTROS PRODUTOS COMERCIALIZADOS,Aguardente de vinho 50°gl,2013,0
OUTROS PRODUTOS COMERCIALIZADOS,Alcool vinico,2013,0
OUTROS PRODUTOS COMERCIALIZADOS,Bagaceira (graspa),2013,17075
OUTROS PRODUTOS COMERCIALIZADOS,Base champenoise champanha,2013,27078
OUTROS PRODUTOS COMERCIALIZADOS,Base charmat champanha,2013,97260
OUTROS PRODUTOS COMERCIALIZADOS,Base espumante moscatel,2013,26483
OUTROS PRODUTOS COMERCIALIZADOS,Bebida de uva,2013,291188
OUTROS PRODUTOS COMERCIALIZADOS,Borra líquida,2013,22000
OUTROS PRODUTOS COMERCIALIZADOS,Borra seca,2013,62825
OUTROS PRODUTOS COMERCIALIZADOS,Brandy (conhaque),2013,6276
OUTROS PRODUTOS COMERCIALIZADOS,Cooler,2013,4028017
OUTROS PRODUTOS COMERCIALIZADOS,Coquetel com vinho,2013,806955
OUTROS PRODUTOS COMERCIALIZADOS,Destilado de vinho,2013,24838
OUTROS PRODUTOS COMERCIALIZADOS,Filtrado doce,2013,6685648
OUTROS PRODUTOS COMERCIALIZADOS,Jeropiga,2013,94860
OUTROS PRODUTOS COMERCIALIZADOS,Mistelas,2013,1655
OUTROS PRODUTOS COMERCIALIZADOS,Mosto concentrado,2013,0
OUTROS PRODUTOS COMERCIALIZADOS,Mosto de uva,2013,325562
OUTROS PRODUTOS COMERCIALIZADOS,Mosto sulfitado,2013,0
OUTROS PRODUTOS COMERCIALIZADOS,Nectar de uva,2013,5347775
OUTROS PRODUTOS COMERCIALIZADOS,Outros produtos,2013,529274
OUTROS PRODUTOS COMERCIALIZADOS,Polpa de uva,2013,1981851
OUTROS PRODUTOS COMERCIALIZADOS,Preparado líquido para refresco,2013,623481
OUTROS PRODUTOS COMERCIALIZADOS,Refrigerante +50% suco,2013,0
OUTROS PRODUTOS COMERCIALIZADOS,Sangria,2013,76039
OUTROS PRODUTOS COMERCIALIZADOS,Vinagre balsamico,2013,122749
OUTROS PRODUTOS COMERCIALIZADOS,Vinagre duplo,2013,3233270
OUTROS PRODUTOS COMERCIALIZADOS,Vinagre simples,2013,8049936
OUTROS PRODUTOS COMERCIALIZADOS,Vinho acetificado,2013,3154800
OUTROS PRODUTOS COMERCIALIZADOS,Vinho base para espumantes,2013,0
OUTROS PRODUTOS COMERCIALIZADOS,Vinho composto,2013,595513
OUTROS PRODUTOS COMERCIALIZADOS,Vinho licoroso,2013,609153
OUTROS PRODUTOS COMERCIALIZADOS,Vinho leve,2013,0
OUTROS PRODUTOS COMERCIALIZADOS,Vinho gaseificado,2013,0
